epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.2781,1.89816,1.01821,0.96061,0.81664,0.64476,0.7047,0.40981,1.82052,0.89254,0.95089,0.09703,3e-05,3e-05
2,18.0201,1.67487,0.87328,0.95443,0.81426,0.65035,0.71092,0.41704,1.80426,0.89975,0.95507,0.0930665,6.6535e-05,6.6535e-05
3,23.74,1.71015,0.88855,0.94872,0.78508,0.65395,0.70894,0.42008,1.80719,0.92101,0.96295,0.0890991,9.911e-05,9.911e-05
4,29.4141,1.64179,0.82392,0.94296,0.79001,0.63776,0.70124,0.4285,1.76469,0.95101,0.96187,0.0851277,0.000127725,0.000127725
5,35.1001,1.7287,0.86035,0.9872,0.79719,0.6432,0.70796,0.41562,1.79025,0.96158,0.95963,0.0811524,0.00015238,0.00015238
6,40.8055,1.61787,0.81657,0.94738,0.80147,0.63803,0.70907,0.43293,1.72399,0.93057,0.95655,0.0771731,0.000173075,0.000173075
7,46.5348,1.59151,0.75707,0.93467,0.78693,0.64615,0.71457,0.4214,1.76676,0.93231,0.95876,0.0731898,0.00018981,0.00018981
8,52.2641,1.5944,0.77909,0.9218,0.80616,0.63776,0.70997,0.43144,1.74368,0.90405,0.96087,0.0692026,0.000202585,0.000202585
9,57.9776,1.55794,0.7289,0.90451,0.81015,0.62666,0.70346,0.4374,1.75808,0.92022,0.96462,0.0652114,0.0002114,0.0002114
10,63.7233,1.51788,0.73288,0.91387,0.81629,0.63217,0.71262,0.44437,1.70828,0.89402,0.96225,0.0612163,0.000216255,0.000216255
11,69.5828,1.42354,0.72302,0.90766,0.81656,0.64895,0.71819,0.45847,1.65671,0.86684,0.96074,0.0572172,0.00021715,0.00021715
12,75.1971,1.4945,0.72195,0.9243,0.82787,0.64755,0.71831,0.45842,1.64143,0.84792,0.95602,0.0532141,0.000214085,0.000214085
13,80.863,1.55943,0.75201,0.91338,0.8209,0.64747,0.71856,0.4586,1.63857,0.83839,0.95568,0.0492071,0.00020706,0.00020706
14,86.53,1.47391,0.7219,0.92289,0.82838,0.64895,0.71953,0.46053,1.64132,0.83864,0.95487,0.0451961,0.000196075,0.000196075
15,92.1088,1.47993,0.71792,0.91712,0.80898,0.64895,0.71889,0.46541,1.62736,0.83464,0.95612,0.0411811,0.00018113,0.00018113
16,97.751,1.57468,0.75298,0.89619,0.82017,0.64895,0.7204,0.46481,1.62078,0.82909,0.95592,0.0371622,0.000162225,0.000162225
17,103.407,1.42772,0.72177,0.905,0.82454,0.65069,0.72051,0.45855,1.63483,0.83276,0.95539,0.0331394,0.00013936,0.00013936
18,109.031,1.54493,0.73778,0.9302,0.8265,0.64615,0.72044,0.46449,1.61907,0.8275,0.95638,0.0291125,0.000112535,0.000112535
19,114.696,1.48714,0.71348,0.91388,0.83729,0.64615,0.71997,0.46539,1.61743,0.82546,0.95695,0.0250817,8.175e-05,8.175e-05
20,120.42,1.44095,0.713,0.92325,0.83529,0.64895,0.72015,0.46427,1.61983,0.82323,0.9568,0.021047,4.7005e-05,4.7005e-05
